Simulating with QN1: 560000.0, QN2: 950000.0, QC: 3.0, SF: 0.5 -> H2S: 0.106, NH3: 13.633
Simulating with QN1: 560000.0, QN2: 950000.0, QC: 3.0, SF: 0.5 -> H2S: 0.106, NH3: 13.632
Simulating with QN1: 560000.0, QN2: 950000.0, QC: 3.0, SF: 0.5 -> H2S: 0.106, NH3: 13.633
Simulating with QN1: 560000.0, QN2: 950000.0, QC: 3.0, SF: 0.5 -> H2S: 0.106, NH3: 13.633
Simulating with QN1: 560000.0, QN2: 950000.0, QC: 3.0, SF: 0.5 -> H2S: 0.106, NH3: 13.633
Simulating with QN1: 450000.0, QN2: 700000.0, QC: 2.0, SF: 0.5 -> H2S: 4.009, NH3: 95.531
Simulating with QN1: 450000.0, QN2: 700000.0, QC: 2.0, SF: 0.5 -> H2S: 4.069, NH3: 95.402
Simulating with QN1: 450000.0, QN2: 700000.0, QC: 2.0, SF: 0.5 -> H2S: 4.271, NH3: 95.114
Simulating with QN1: 450000.0, QN2: 700000.0, QC: 2.0, SF: 0.5 -> H2S: 3.973, NH3: 95.615
Simulating with QN1: 450000.0, QN2: 700000.0, QC: 2.0, SF: 0.5 -> H2S: 3.9, NH3: 95.737
Simulating with QN1: 523332.0, QN2: 866663.0, QC: 2.67, SF: 0.5 -> H2S: 0.371, NH3: 25.023
Simulating with QN1: 523332.0, QN2: 866663.0, QC: 2.67, SF: 0.5 -> H2S: 0.369, NH3: 25.032
Simulating with QN1: 523332.0, QN2: 866663.0, QC: 2.67, SF: 0.5 -> H2S: 0.374, NH3: 25.007
Simulating with QN1: 523332.0, QN2: 866663.0, QC: 2.67, SF: 0.5 -> H2S: 0.369, NH3: 25.03
Simulating with QN1: 523332.0, QN2: 866663.0, QC: 2.67, SF: 0.5 -> H2S: 0.369, NH3: 25.03
Simulating with QN1: 547766.0, QN2: 922196.0, QC: 2.89, SF: 0.5 -> H2S: 0.162, NH3: 16.597
Simulating with QN1: 547766.0, QN2: 922196.0, QC: 2.89, SF: 0.5 -> H2S: 0.163, NH3: 16.593
Simulating with QN1: 547766.0, QN2: 922196.0, QC: 2.89, SF: 0.5 -> H2S: 0.163, NH3: 16.592
Simulating with QN1: 547766.0, QN2: 922196.0, QC: 2.89, SF: 0.5 -> H2S: 0.163, NH3: 16.592
Simulating with QN1: 547766.0, QN2: 922196.0, QC: 2.89, SF: 0.5 -> H2S: 0.163, NH3: 16.593
Simulating with QN1: 555874.0, QN2: 940623.0, QC: 2.96, SF: 0.5 -> H2S: 0.123, NH3: 14.539
Simulating with QN1: 555874.0, QN2: 940623.0, QC: 2.96, SF: 0.5 -> H2S: 0.123, NH3: 14.554
Simulating with QN1: 555874.0, QN2: 940623.0, QC: 2.96, SF: 0.5 -> H2S: 0.123, NH3: 14.556
Simulating with QN1: 555874.0, QN2: 940623.0, QC: 2.96, SF: 0.5 -> H2S: 0.123, NH3: 14.556
Simulating with QN1: 555874.0, QN2: 940623.0, QC: 2.96, SF: 0.5 -> H2S: 0.123, NH3: 14.556
Simulating with QN1: 550523.0, QN2: 928461.0, QC: 2.91, SF: 0.5 -> H2S: 0.148, NH3: 15.868
Simulating with QN1: 550523.0, QN2: 928461.0, QC: 2.91, SF: 0.5 -> H2S: 0.148, NH3: 15.866
Simulating with QN1: 550523.0, QN2: 928461.0, QC: 2.91, SF: 0.5 -> H2S: 0.148, NH3: 15.866
Simulating with QN1: 550523.0, QN2: 928461.0, QC: 2.91, SF: 0.5 -> H2S: 0.148, NH3: 15.867
Simulating with QN1: 550523.0, QN2: 928461.0, QC: 2.91, SF: 0.5 -> H2S: 0.148, NH3: 15.867
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.985
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.985
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.984
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.985
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.985
Simulating with QN1: 551702.0, QN2: 931141.0, QC: 2.92, SF: 0.5 -> H2S: 0.142, NH3: 15.567
Simulating with QN1: 551702.0, QN2: 931141.0, QC: 2.92, SF: 0.5 -> H2S: 0.143, NH3: 15.564
Simulating with QN1: 551702.0, QN2: 931141.0, QC: 2.92, SF: 0.5 -> H2S: 0.142, NH3: 15.564
Simulating with QN1: 551702.0, QN2: 931141.0, QC: 2.92, SF: 0.5 -> H2S: 0.142, NH3: 15.565
Simulating with QN1: 551702.0, QN2: 931141.0, QC: 2.92, SF: 0.5 -> H2S: 0.142, NH3: 15.566
Simulating with QN1: 553259.0, QN2: 934680.0, QC: 2.94, SF: 0.5 -> H2S: 0.135, NH3: 15.182
Simulating with QN1: 553259.0, QN2: 934680.0, QC: 2.94, SF: 0.5 -> H2S: 0.134, NH3: 15.185
Simulating with QN1: 553259.0, QN2: 934680.0, QC: 2.94, SF: 0.5 -> H2S: 0.134, NH3: 15.185
Simulating with QN1: 553259.0, QN2: 934680.0, QC: 2.94, SF: 0.5 -> H2S: 0.134, NH3: 15.184
Simulating with QN1: 553259.0, QN2: 934680.0, QC: 2.94, SF: 0.5 -> H2S: 0.134, NH3: 15.183
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.991
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.988
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.988
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.988
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.988
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.988
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.988
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.988
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.988
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.988
Simulating with QN1: 553659.0, QN2: 935590.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.089
Simulating with QN1: 553659.0, QN2: 935590.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.087
Simulating with QN1: 553659.0, QN2: 935590.0, QC: 2.94, SF: 0.5 -> H2S: 0.133, NH3: 15.084
Simulating with QN1: 553659.0, QN2: 935590.0, QC: 2.94, SF: 0.5 -> H2S: 0.133, NH3: 15.084
Simulating with QN1: 553659.0, QN2: 935590.0, QC: 2.94, SF: 0.5 -> H2S: 0.133, NH3: 15.084
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.132, NH3: 14.984
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.132, NH3: 14.984
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.987
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.988
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.987
Simulating with QN1: 450000.0, QN2: 700000.0, QC: 1.94, SF: 0.5 -> H2S: 4.009, NH3: 95.531
Simulating with QN1: 450000.0, QN2: 700000.0, QC: 1.94, SF: 0.5 -> H2S: 4.07, NH3: 95.4
Simulating with QN1: 450000.0, QN2: 700000.0, QC: 1.94, SF: 0.5 -> H2S: 4.274, NH3: 95.108
Simulating with QN1: 450000.0, QN2: 700000.0, QC: 1.94, SF: 0.5 -> H2S: 3.972, NH3: 95.615
Simulating with QN1: 450000.0, QN2: 700000.0, QC: 1.94, SF: 0.5 -> H2S: 3.899, NH3: 95.737
Simulating with QN1: 519372.0, QN2: 857663.0, QC: 2.61, SF: 0.5 -> H2S: 0.433, NH3: 26.766
Simulating with QN1: 519372.0, QN2: 857663.0, QC: 2.61, SF: 0.5 -> H2S: 0.429, NH3: 26.778
Simulating with QN1: 519372.0, QN2: 857663.0, QC: 2.61, SF: 0.5 -> H2S: 0.426, NH3: 26.793
Simulating with QN1: 519372.0, QN2: 857663.0, QC: 2.61, SF: 0.5 -> H2S: 0.424, NH3: 26.798
Simulating with QN1: 519372.0, QN2: 857663.0, QC: 2.61, SF: 0.5 -> H2S: 0.425, NH3: 26.795
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.987
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.986
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.987
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.987
Simulating with QN1: 554059.0, QN2: 936499.0, QC: 2.95, SF: 0.5 -> H2S: 0.131, NH3: 14.987
Simulating with QN1: 553737.0, QN2: 935766.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.067
Simulating with QN1: 553737.0, QN2: 935766.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.067
Simulating with QN1: 553737.0, QN2: 935766.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.065
Simulating with QN1: 553737.0, QN2: 935766.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.064
Simulating with QN1: 553737.0, QN2: 935766.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.065
Simulating with QN1: 553933.0, QN2: 936211.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.015
Simulating with QN1: 553933.0, QN2: 936211.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.015
Simulating with QN1: 553933.0, QN2: 936211.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.017
Simulating with QN1: 553933.0, QN2: 936211.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.017
Simulating with QN1: 553933.0, QN2: 936211.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.017
Simulating with QN1: 553807.0, QN2: 935926.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.048
Simulating with QN1: 553807.0, QN2: 935926.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.049
Simulating with QN1: 553807.0, QN2: 935926.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.048
Simulating with QN1: 553807.0, QN2: 935926.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.047
Simulating with QN1: 553807.0, QN2: 935926.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.047
Simulating with QN1: 553878.0, QN2: 936087.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.037
Simulating with QN1: 553878.0, QN2: 936087.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.037
Simulating with QN1: 553878.0, QN2: 936087.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.033
Simulating with QN1: 553878.0, QN2: 936087.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.029
Simulating with QN1: 553878.0, QN2: 936087.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.029
Simulating with QN1: 553902.0, QN2: 936141.0, QC: 2.94, SF: 0.5 -> H2S: 0.132, NH3: 15.027
