Simulating with QF: 0.5, QN1: 560000.0, QN2: 950000.0, QC: 3.0 -> H2S: 0.106, NH3: 13.633
Simulating with QF: 0.5, QN1: 560000.0, QN2: 950000.0, QC: 3.0 -> H2S: 0.106, NH3: 13.633
Simulating with QF: 0.5, QN1: 560000.0, QN2: 950000.0, QC: 3.0 -> H2S: 0.106, NH3: 13.633
Simulating with QF: 0.5, QN1: 560000.0, QN2: 950000.0, QC: 3.0 -> H2S: 0.106, NH3: 13.633
Simulating with QF: 0.5, QN1: 660000.0, QN2: 950000.0, QC: 3.0 -> H2S: 0.024, NH3: 7.697
Simulating with QF: 0.5, QN1: 660000.0, QN2: 950000.0, QC: 3.0 -> H2S: 0.024, NH3: 7.697
Simulating with QF: 0.5, QN1: 560000.0, QN2: 1050000.0, QC: 3.0 -> H2S: 0.044, NH3: 9.108
Simulating with QF: 0.5, QN1: 560000.0, QN2: 1050000.0, QC: 3.0 -> H2S: 0.044, NH3: 9.108
Simulating with QF: 0.5, QN1: 560000.0, QN2: 950000.0, QC: 4.0 -> H2S: 0.108, NH3: 13.625
Simulating with QF: 0.5, QN1: 560000.0, QN2: 950000.0, QC: 4.0 -> H2S: 0.108, NH3: 13.625
Simulating with QF: 0.6, QN1: 560000.0, QN2: 950000.0, QC: 3.0 -> H2S: 0.126, NH3: 14.606
Simulating with QF: 0.6, QN1: 560000.0, QN2: 950000.0, QC: 3.0 -> H2S: 0.126, NH3: 14.606
Simulating with QF: 0.43, QN1: 581719.0, QN2: 877299.0, QC: 3.01 -> H2S: 0.143, NH3: 15.989
Simulating with QF: 0.43, QN1: 581719.0, QN2: 877299.0, QC: 3.01 -> H2S: 0.143, NH3: 15.989
Simulating with QF: 0.33, QN1: 584422.0, QN2: 874856.0, QC: 3.01 -> H2S: 0.13, NH3: 15.338
Simulating with QF: 0.33, QN1: 584422.0, QN2: 874856.0, QC: 3.01 -> H2S: 0.13, NH3: 15.338
Simulating with QF: 0.3, QN1: 600000.0, QN2: 860285.0, QC: 3.93 -> H2S: 0.119, NH3: 14.868
Simulating with QF: 0.3, QN1: 600000.0, QN2: 860285.0, QC: 3.93 -> H2S: 0.119, NH3: 14.868
Simulating with QF: 0.3, QN1: 600000.0, QN2: 855724.0, QC: 4.92 -> H2S: 0.124, NH3: 15.197
Simulating with QF: 0.3, QN1: 600000.0, QN2: 855724.0, QC: 4.92 -> H2S: 0.124, NH3: 15.197
Simulating with QF: 0.3, QN1: 600000.0, QN2: 856925.0, QC: 2.93 -> H2S: 0.122, NH3: 15.113
Simulating with QF: 0.3, QN1: 600000.0, QN2: 856925.0, QC: 2.93 -> H2S: 0.122, NH3: 15.113
Simulating with QF: 0.3, QN1: 600000.0, QN2: 857915.0, QC: 3.93 -> H2S: 0.121, NH3: 15.04
Simulating with QF: 0.3, QN1: 600000.0, QN2: 857915.0, QC: 3.93 -> H2S: 0.121, NH3: 15.04
Simulating with QF: 0.3, QN1: 600000.0, QN2: 858332.0, QC: 4.93 -> H2S: 0.12, NH3: 15.011
Simulating with QF: 0.3, QN1: 600000.0, QN2: 858332.0, QC: 4.93 -> H2S: 0.12, NH3: 15.011
Simulating with QF: 0.29, QN1: 551282.0, QN2: 848322.0, QC: 4.93 -> H2S: 0.249, NH3: 20.835
Simulating with QF: 0.29, QN1: 551282.0, QN2: 848322.0, QC: 4.93 -> H2S: 0.249, NH3: 20.835
Simulating with QF: 0.31, QN1: 609078.0, QN2: 809875.0, QC: 4.93 -> H2S: 0.175, NH3: 18.063
Simulating with QF: 0.31, QN1: 609078.0, QN2: 809875.0, QC: 4.93 -> H2S: 0.175, NH3: 18.063
Simulating with QF: 0.3, QN1: 600000.0, QN2: 858408.0, QC: 3.93 -> H2S: 0.12, NH3: 15.009
Simulating with QF: 0.3, QN1: 600000.0, QN2: 858408.0, QC: 3.93 -> H2S: 0.12, NH3: 15.009
Simulating with QF: 0.35, QN1: 593354.0, QN2: 865519.0, QC: 4.93 -> H2S: 0.126, NH3: 15.294
Simulating with QF: 0.35, QN1: 593354.0, QN2: 865519.0, QC: 4.93 -> H2S: 0.126, NH3: 15.294
